シーケンス,サウンド バイトのテキスト,評価およびスコア,サウンド バイトのセンチメント,タイトル,情報源の種類,投稿タイプ,メディア タイプ,URL,ドメイン,公開日 (GMT+09:00) Tokyo,投稿者の性別,投稿者の URL,投稿者名,投稿者の ID,投稿者 ID,投稿者ロケーション - 国 1,投稿者のロケーション - 州/省 1,投稿者ロケーション - 市区町村 1,投稿者ロケーション - 国 2,投稿者のロケーション - 州/省 2,投稿者ロケーション - 市区町村 2,投稿者ロケーション - その他,フォロワー数/ユニーク ビジター数 (日単位),職業,関心,タグ,引用された投稿,引用された投稿者名,引用された投稿者の ID,合計エンゲージメント数,コメント投稿,「いいね！」する,シェア投稿,ビューを投稿,嫌いなものを投稿,製品名,製品階層,評価
118,2＝賑わう　1＝一緒に祝おう　6＝向こうのLEAF　 日産メールマガジンお誕生日企画 www2.nissan.co.jp/MAGAZINE/BIRTH…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/nzLl8tOc83fMjcS/statuses/964757119663685632,twitter.com,2018/02/17 16:03:16,女性,http://twitter.com/nzLl8tOc83fMjcS,あいか,nzLl8tOc83fMjcS,779246712661487616,,,,,,,,3,,,,,,,,,,,,,,,
119,GT今更スープラ作り込んでもおせぇんだよGT6でやれよどうして日産リーフとかプリウスはすぐ作れんのにスープラ作るのに1145141919年もかかってんだよ,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/Laserush5s/statuses/954737663487000576,twitter.com,2018/01/21 0:29:31,Unknown,http://twitter.com/Laserush5s,ZAWARIS,Laserush5s,3176887951,,,,,,,,38,,,,,,,,,,,,,,,
120,トヨタ カムリ、日産 リーフ、マツダ CX-5 が残る…世界カーオブザイヤーの第二次選考10台 usedcarwebdemo.bzschool.jpトヨタ-カムリ、日産-リーフ、マツダ-cx-5-が残る世-2/ #usedcar #japanusedcar #car,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/ucarexguide/statuses/956061146754310145,twitter.com,2018/01/24 16:08:34,Unknown,http://twitter.com/ucarexguide,中古車輸出の海外マーケット研究会,ucarexguide,1852851830,日本,東京都,,,,,,4310,,,,,,,,,,,,,,,
121,日産 リーフ 新型、米国予約受注が1万3000台突破…デトロイトモーターショー2018で発表レスポンス,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/pakukokukariga/statuses/955649191463698432,twitter.com,2018/01/23 12:51:37,Unknown,http://twitter.com/pakukokukariga,こけし,pakukokukariga,134293962,アメリカ合衆国,ミシガン,デトロイト,,,,,65,,,,,,,,,,,,,,,
122,乗用車の部品で低コストなEVバス、日産「リーフ」の技術を生かすスマートジャパン rdsig.yahoo.co.jp/rss/l/headline…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/kakurushiteida/statuses/958925685703172096,twitter.com,2018/02/01 13:51:14,Unknown,http://twitter.com/kakurushiteida,ぽにー,kakurushiteida,176720687,アメリカ合衆国,イリノイ,シカゴ,,,,,51,,,,,,,,,,,,,,,
123,リーフのインテリジェントルームミラー 納車して99%はこれ使ってる。 雨天時でもリアワイパー使ったこと一度もない。 けど、信号待ちでの煽られてる感はいまだ健在w このカメラに録画機能があれば最高なんですけどね。 技術の日産さんなら容易いでしょう(ジロッ #リーフ #インテリジェントルームミラー,,ポジティブ,,Twitter,オリジナル,メディアなし,http://twitter.com/kik8647/statuses/964077407954026496,twitter.com,2018/02/15 19:02:20,Unknown,http://twitter.com/kik8647,とも,kik8647,373443609,,,,,,,,25,,,,,,,,,,,,,,,
124,日産、トヨタもビックリ！ポルシェが「超急速充電」発表でEVの常識を覆す（オートックワン） - Yahoo!ニュース headlines.yahoo.co.jp/hl?a=20180131-… @YahooNewsTopics,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/ElectronicsDIY5/statuses/958732379048239104,twitter.com,2018/02/01 1:03:06,Unknown,http://twitter.com/ElectronicsDIY5,ElectronicsDIY5,ElectronicsDIY5,3274305571,日本,福岡県,,,,,,147,,,,,,,,,,,,,,,
125,あざます。 NISSANにノートが ダイナミック入店してきた。 お陰様で展示されていた 新型リーフが木っ端微塵。 お客さんのノートもメチャメチャ。 アクセルとブレーキの踏み間違え。 怖すぎ…,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/yuto_kitaguchi/statuses/964092311138320385,twitter.com,2018/02/15 20:01:33,男性,http://twitter.com/yuto_kitaguchi,YUTO,yuto_kitaguchi,4174687874,,,,,,,,146,営業・マーケティング,自動車,,,,,,,,,,,,,
126,"“Lisping Jenny” anju in jp Download, please.Thank you. itunes.apple.com/gb/album/lispi… #日産リーフ #FGOラジオ #シノアリス #ar954 #tbsradio",,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/anju_music_/statuses/954283721124802561,twitter.com,2018/01/19 18:25:43,Unknown,http://twitter.com/anju_music_,pretty.honey.special,anju_music_,346931549,,,,,,,,10350,,音楽,,,,,,,,,,,,,
127,投稿者により削除済み。,,,,,,,,,2018/02/10 14:46:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,オートメッセ最終日始まりました！ #大阪オートメッセ #2号館 #日産京都自動車大学校 #5523 #リーフ #b10サニー #ロックペイント #Mobil1… instagram.com/p/BfFB7KpgWDZ/,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/23kyoto_info/statuses/962864478579822592,twitter.com,2018/02/12 10:42:35,Unknown,http://twitter.com/23kyoto_info,日産京都自動車大学校　学生広報部,23kyoto_info,887833966958354432,,,,,,,,173,,,,,,,,,,,,,,,
129,トヨタ カムリ、日産 リーフ、マツダ cx-5 が残る…世界カーオブザイヤーの第二次選考10台 douglasconrete.xyz/new-car/media/… pic.twitter.com/YMgGjZgMj2,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/william_god_luc/statuses/956470275142504448,twitter.com,2018/01/25 19:14:18,Unknown,http://twitter.com/william_god_luc,森谷,william_god_luc,2809004826,,,,,,,,27,,,,,,,,,,,,,,,
130,ルノー・日産・三菱が中国の配車アプリ大手とEVカーシェアで協業へオートックワンrdsig.yahoo.co.jp/rss/l/headline…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/valntinam9idti/statuses/962523982032351232,twitter.com,2018/02/11 12:09:34,Unknown,http://twitter.com/valntinam9idti,かつおぶし,valntinam9idti,897480174639484928,,,,,,,,62,,,,,,,,,,,,,,,
131,昨夜は所用で(愛娘は両親にお願いしました)遅くなり＆予想以上の距離を走ったため焦る表示がでました！ナビ＆Evsmartで近くの充電場所を検索！が･･･すべて使用中。なんってこった！焦焦(汗汗💦)しながら充電場所を探し、日産Dに到着！これもEVの楽しみと考え今日もリーフと共に走ります #日産リーフ pic.twitter.com/a3NHtXLrSQ,,Neutral,,Twitter,オリジナル,画像,http://twitter.com/ITO_Karin/statuses/962123176850333696,twitter.com,2018/02/10 9:36:55,女性,http://twitter.com/ITO_Karin,伊藤花梨,ITO_Karin,244094440,日本,愛知県,名古屋市,,,,,963,Homemaker,自動車,,,,,,,,,,,,,
132,@kent_yam26 日産党だったんだね！ じゃあ今度はリーフかな(￣▽￣)←いきなり新次元。,,Neutral,,Twitter,返信およびコメント,メディアなし,http://twitter.com/munman_khitdii/statuses/957490635610636289,twitter.com,2018/01/28 14:48:51,Unknown,http://twitter.com/munman_khitdii,TKY,munman_khitdii,766679306219036674,,,,,,,,341,,,,,,,,,,,,,,,
133,新型日産リーフの「ePedal」は運転を変える!?All About,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/kchvitschabg1/statuses/960850404824162304,twitter.com,2018/02/06 21:19:22,Unknown,http://twitter.com/kchvitschabg1,もち,kchvitschabg1,897501379375357952,,,,,,,,61,,,,,,,,,,,,,,,
134,【2018年1月19日（金）プロモトレンド】 #日産リーフ 乗ればあなたも、きっと驚く。指1本で自動駐車。日産のお店でお試しください！ （日産自動車株式会社 @NissanJP） twitter.com/NissanJP/statu…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/today_promo_t/statuses/954196698116456448,twitter.com,2018/01/19 12:39:55,Unknown,http://twitter.com/today_promo_t,今日のプロモトレンド,today_promo_t,931415519961350144,,,,,,,,27,,,,【CM】こんにちは！ここで新型 #日産リーフ のCMをお届けします。 https://t.co/8YlSWm4Avu 指1本で自動駐車--新開発「プロパイロット パーキング」を日産のお店で是非お試しください！縦列や並列など、これまでの駐車の常識が変わるかもしれません。 https://t.co/NL95wSkKiY,日産自動車株式会社,NissanJP,,,,,,,,,
135,SankeiBiz 【試乗インプレ】“ＥＶ先駆者”の名に恥じない高い完成度 日産の新型リーフ (1/5ページ) SankeiBiz 日本のＥＶ開発を先導してきた日産が、２代目リーフを大幅に… 2bit.tk/sg8TA,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/nissanjidousha/statuses/954976045916180481,twitter.com,2018/01/21 16:16:46,Unknown,http://twitter.com/nissanjidousha,日産自動車,nissanjidousha,1338421538,,,,,,,,183,,,,,,,,,,,,,,,
136,日産、トヨタもビックリ！ポルシェが「超急速充電」発表でEVの常識を覆す（オートックワン） dlvr.it/QDTCVL pic.twitter.com/wDGR0GFsjw,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/gold_rutile_qua/statuses/958973767535022080,twitter.com,2018/02/01 17:02:17,Unknown,http://twitter.com/gold_rutile_qua,住田,gold_rutile_qua,2854715827,,,,,,,,38,,,,,,,,,,,,,,,
137,日産電気自動車ブログ　NISSAN EV BLOG evblog.nissan.co.jp/EV/i/?scadid=A…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/big_power23/statuses/958115943418249216,twitter.com,2018/01/30 8:13:36,Unknown,http://twitter.com/big_power23,ビッグ,big_power23,373989136,日本,愛知県,名古屋市,,,,,13951,,,,,,,,,,,,,,,
138,#日産#NISSAN#リーフ#LEAF#新車#New Car#ディーラー撮影#本日陸送#29日着#初代リーフとお別れ#当日は、並べて撮影しよう!#天気回回復すると良いなぁ instagram.com/p/BeX_VFilGXf/,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/fuga3500sw/statuses/956525579100024835,twitter.com,2018/01/25 22:54:04,Unknown,http://twitter.com/fuga3500sw,小林　涼一,fuga3500sw,1495579526,,,,,,,,18,,,,,,,,,,,,,,,
139,まあ、日産はノートとリーフが今後主力になっていくんかな？,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/k_hairu/statuses/958043718761594880,twitter.com,2018/01/30 3:26:36,Unknown,http://twitter.com/k_hairu,はいる@次回は2/18憂誕,k_hairu,85289818,日本,,,,,,,317,,アニメ・漫画; 写真と動画; ゲーム,,,,,,,,,,,,,
140,お買い物ついでにちょい足し充電♪ #日産リーフ,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/eco_driver_ze2/statuses/954308658778615809,twitter.com,2018/01/19 20:04:49,女性,http://twitter.com/eco_driver_ze2,みや@エコ,eco_driver_ze2,198499092,,,,,,,,114,,アウトドア; ゲーム,,,,,,,,,,,,,
141,【大阪オートメッセ2018】電気自動車にもクロスオーバーを!! 今風に変身した日産「リーフ」のカスタマイズカーが登場!! - Autoblog 日本版 news.google.com/news/url?sa=t&…,,ポジティブ,,Twitter,オリジナル,リンク,http://twitter.com/terminalcoin/statuses/963948160891592704,twitter.com,2018/02/15 10:28:45,Unknown,http://twitter.com/terminalcoin,家電を愛する人,terminalcoin,481662352,,,,,,,,5318,,,,,,,,,,,,,,,
142,リーフの方が充電中は車内中で暖とれるし、ディーラーならコーヒー飲めるし…とか思った… #日産リーフ,,Neutral,,Twitter,返信およびコメント,メディアなし,http://twitter.com/eco_driver_ze2/statuses/956488136137195520,twitter.com,2018/01/25 20:25:17,女性,http://twitter.com/eco_driver_ze2,みや@エコ,eco_driver_ze2,198499092,,,,,,,,115,,アウトドア; ゲーム,,,,,,,,,,,,,
143,日産、2021年よりインフィニティにevと「e-power」を投入 douglasconrete.xyz/new-car/media/… pic.twitter.com/L1dmxHs6nv,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/camille_god/statuses/954769284789661696,twitter.com,2018/01/21 2:35:10,男性,http://twitter.com/camille_god,kosaku,camille_god,2893997065,,,,,,,,48,,,,,,,,,,,,,,,
144,日産、トヨタもビックリ！ポルシェが「超急速充電」発表でEVの常識を覆すオートックワン,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/rpeelerzu4h/statuses/959755783767404544,twitter.com,2018/02/03 20:49:44,男性,http://twitter.com/rpeelerzu4h,さとし,rpeelerzu4h,901017487910871040,,,,,,,,60,,,,,,,,,,,,,,,
145,#日産リーフで走ってみた。更新。 今度の目的地は広島じゃけぇ。 #日産リーフ #電気自動車 #外での急速充電は月額2000円で使い放題 evblog.nissan.co.jp/EV/2018/TRY/46… fb.me/2f3oOwFcW,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/NISSANEV/statuses/958259414644871168,twitter.com,2018/01/30 17:43:42,Unknown,http://twitter.com/NISSANEV,日産自動車株式会社,NISSANEV,114520726,日本,神奈川県,横浜市,,,,,51550,,,,,,,,,,,,,,,
146,ルノー日産三菱のEV世界販売、54万台超え…初代 リーフ から7年レスポンス,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/chienzokurika/statuses/959418528565575680,twitter.com,2018/02/02 22:29:37,男性,http://twitter.com/chienzokurika,へき,chienzokurika,123531222,,,,,,,,55,,,,,,,,,,,,,,,
147,つまり、15分充電で400km走れる計算？ 200kmでもいいなら7〜8分とかかな？ それくらいなら給油に匹敵するなぁ。（´ω｀） 日産、トヨタもビックリ！ポルシェが「超急速充電」発表でEVの常識を覆す（オートックワン） - Yahoo!ニュース headlines.yahoo.co.jp/hl?a=20180131-…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/ittokudayo/statuses/958912329361506304,twitter.com,2018/02/01 12:58:09,Unknown,http://twitter.com/ittokudayo,いっとく,ittokudayo,56909987,日本,東京都,,,,,,424,,音楽; スポーツ; アウトドア; 写真と動画,,,,,,,,,,,,,
148,(e◡v) #日産リーフ お近くの日産のお店で試乗できます。未体験の方はぜひご自身で体感を。 map2.nissan.co.jp/c/f/TESTDRIVE/…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/NISSANEV/statuses/957137154760630273,twitter.com,2018/01/27 15:24:15,Unknown,http://twitter.com/NISSANEV,日産自動車株式会社,NISSANEV,114520726,日本,神奈川県,横浜市,,,,,51514,,,,,,,,,,,,,,,
149,日本の自動車業界で唯一、日産がEVに躍起なワケ (1/5) - ITmedia ビジネスオンライン itmedia.co.jp/business/spv/1…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/wormple_xp/statuses/963898924393152512,twitter.com,2018/02/15 7:13:06,Unknown,http://twitter.com/wormple_xp,わーむぷるNote8,wormple_xp,243949371,日本,東京都,町田市,日本,広島県,広島市,,567,,写真と動画; ゲーム,,,,,,,,,,,,,
150,日産リーフ、驚愕の氷上雪上性能。(河口まなぶ) - Y!ニュース news.yahoo.co.jp/byline/kawaguc…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/Tristaticrader/statuses/956527029507145729,twitter.com,2018/01/25 22:59:49,Unknown,http://twitter.com/Tristaticrader,mo-chan,Tristaticrader,365429390,日本,東京都,,,,,,1182,,,,,,,,,,,,,,,
151,新型日産リーフの「e-Pedal」は運転を変える!? news.marokarihonpo.com/%e6%96%b0%e5%9… pic.twitter.com/sEvX6Oy8w7,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/curlysuke1/statuses/958664294991826944,twitter.com,2018/01/31 20:32:33,男性,http://twitter.com/curlysuke1,curlysuke,curlysuke1,752407942360473600,日本,東京都,,,,,,1648,,アウトドア; 飲食; 健康・フィットネス,,,,,,,,,,,,,
152,EVバス「よかエコバス」に日産「リーフ」のバッテリーなど搭載 - Car Watch car.watch.impress.co.jp/docs/news/1102… @car_watchより,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/r_tsubame/statuses/954330576932110336,twitter.com,2018/01/19 21:31:54,Unknown,http://twitter.com/r_tsubame,R.tsubame,r_tsubame,635228827,,,,,,,,871,,旅行,,,,,,,,,,,,,
153,ルノー日産三菱、滴滴とEVシェアリングで提携：日本経済新聞 nikkei.com/article/DGXMZO…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/ONSECeng/statuses/961415219430940673,twitter.com,2018/02/08 10:43:45,Unknown,http://twitter.com/ONSECeng,株式会社オンセック,ONSECeng,925226711314178048,日本,東京都,,,,,,30,テクノロジー,,,,,,,,,,,,,,
154,@teru_leaf 身近な物だとやっぱり綿棒ですよね^^ ここ以外にも、日産のエンブレムの所にも使えますしね、 洗車グッズに入れておくことにします,,Neutral,,Twitter,返信およびコメント,メディアなし,http://twitter.com/pokapokaohirune/statuses/959655245038075904,twitter.com,2018/02/03 14:10:14,Unknown,http://twitter.com/pokapokaohirune,pokapoka,pokapokaohirune,120993902,,,,,,,,261,,,,,,,,,,,,,,,
155,The latest Kana Sasaki.com Twitterコレクション集! paper.li/KanaSasaki/131… Thanks to @aroma_info #日産リーフ #recipe,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/KanaSasaki/statuses/954485831208665093,twitter.com,2018/01/20 7:48:50,Unknown,http://twitter.com/KanaSasaki,佐々木　加奈（Kana Sasaki）,KanaSasaki,33462773,日本,兵庫県,,,,,,1651,,アニメ・漫画,,,,,,,,,,,,,
156,マツダ・日産、エンジン磨く ＣＯ２「ＥＶ並みに」 - 日本経済新聞 news.google.com/news/url?sa=t&…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/terminalcoin/statuses/957696965164220416,twitter.com,2018/01/29 4:28:44,Unknown,http://twitter.com/terminalcoin,家電を愛する人,terminalcoin,481662352,,,,,,,,5320,,,,,,,,,,,,,,,
157,新型日産リーフ　試乗　市街地でこぼこ道もあり　乗り心地確認もしてみた youtu.be/v1JOu2TODQ4,,ポジティブ,,Twitter,オリジナル,リンク,http://twitter.com/yuusupersaiyaji/statuses/956885896669757441,twitter.com,2018/01/26 22:45:50,Unknown,http://twitter.com/yuusupersaiyaji,sekikinTV＠youtubeの進め,yuusupersaiyaji,509681863,,,,,,,,27484,,テクノロジー; 動画,,,,,,,,,,,,,
158,投稿者により削除済み。,,,,,,,,,2018/01/23 18:37:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,ルノー日産三菱、中国配車アプリ大手と協業…EVのカーシェア実現へ e.exguide.jpルノー日産三菱、中国配車アプリ大手と協業evの-3/ #usedcar #japanusedcar #car,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/ucarexguide/statuses/961406419395203072,twitter.com,2018/02/08 10:08:47,Unknown,http://twitter.com/ucarexguide,中古車輸出の海外マーケット研究会,ucarexguide,1852851830,日本,東京都,,,,,,4294,,,,,,,,,,,,,,,
160,子供のジュースがニュー日産リーフで自動運転でだいすきが書けないんです。,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/morimotow/statuses/963310784808869889,twitter.com,2018/02/13 16:16:03,Unknown,http://twitter.com/morimotow,もりもっつり,morimotow,263098563,,,,,,,,131,,,,,,,,,,,,,,,
161,結果的にEVへの先行投資を推し進めた日産は他社と比較して優位性があるはずですから、いまは良いポジションが取れますよね。 全個体電池はどのメーカーも魅力を感じているし、恐れも感じている。 / 【直撃】EV... #NewsPicks npx.me/vdUK/QoFQ,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/aikumajohn/statuses/964882844324478977,twitter.com,2018/02/18 0:22:51,Unknown,http://twitter.com/aikumajohn,ジョン,aikumajohn,175270829,,,,,,,,302,,,,,,,,,,,,,,,
162,ルノー・日産・三菱自動車、中国の配車アプリ大手「滴滴出行」とevカーシェアリングで協業 youtube.geo.jp/new-car/media/… pic.twitter.com/hnrWFbifHI,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/william_god_luc/statuses/962266003810996224,twitter.com,2018/02/10 19:04:28,Unknown,http://twitter.com/william_god_luc,森谷,william_god_luc,2809004826,,,,,,,,32,,,,,,,,,,,,,,,
163,ビジネスnews+ #5ch #bizplus 【企業】日産、中国に１兆円投資　電動車20種以上投入 bintan.ula.cc/2ch/bizplus/eg…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/drunker2ch/statuses/960364108833894405,twitter.com,2018/02/05 13:07:00,Unknown,http://twitter.com/drunker2ch,5ちゃんねる,drunker2ch,2935686540,,,,,,,,1007,,,,,,,,,,,,,,,
164,日産 リーフ が残る、WCOTYグリーンカーの第二次選考4車種 densi-book.com日産-リーフ-が残る、wcotyグリーンカーの第二次選考4-3/,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/carexportkoza/statuses/956594407641268224,twitter.com,2018/01/26 3:27:34,Unknown,http://twitter.com/carexportkoza,🚗中古車⛴輸出業支援TL,carexportkoza,775726164962713600,日本,神奈川県,横浜市,,,,,202,,,,,,,,,,,,,,,
165,・スリッパや座布団が勝手にうごく――自動運転を応用した未来型旅館を日産が公開 脱ぎ散らかされたスリッパや客室のテーブルやリモコンなども自動的に定位置へ。自動運転技術を旅館に応用した「ProPILOT Park RYOKAN」のムービーを公開した。日産リーフでも同様の技術が。 jp.techcrunch.com/2018/01/25/nis…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/39Geopla/statuses/958225234431131648,twitter.com,2018/01/30 15:27:53,Unknown,http://twitter.com/39Geopla,39Geopla,39Geopla,836776775883489280,,,,,,,,1501,,,,,,,,,,,,,,,
166,サザエさん スポンサーに日産 | 2018/2/1(木) - Yahoo!ニュース news.yahoo.co.jp/pickup/6270450 @YahooNewsTopics サザエさんのメインターゲットは子どもじゃなく老人。屋根に太陽光パネルのっけてリーフに充電する回があるかな？,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/ozawa_farm/statuses/958829232636833792,twitter.com,2018/02/01 7:27:57,Unknown,http://twitter.com/ozawa_farm,農家直売所★小沢ちょこ助,ozawa_farm,517548469,日本,東京都,,,,,,327,Farming and Fishing,ペット,,,,,,,,,,,,,
167,@NissanJP 買ったは良いけど僕の新型LEAF初期欠陥で起動不能でメーカー行ってから返ってこないのですが、大丈夫ですか？日産…CMする前にちゃんとした製品作って下さい…,,Neutral,,Twitter,返信およびコメント,メディアなし,http://twitter.com/ZAA_ZE1/statuses/963765129853640705,twitter.com,2018/02/14 22:21:27,Unknown,http://twitter.com/ZAA_ZE1,ZERO⛓仮想通貨,ZAA_ZE1,916500959986987009,日本,,,,,,,205,,,,,,,,,,,,,,,
168,英語の次はスペイン語覚えようと思ってたけど、中国語が優先だなぁ 日産、中国に１兆円投資　２０２２年、２６０万台販売へ　ＥＶ強化で１・７倍に sankei.com/economy/news/1… @Sankei_newsさんから,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/karei_aji/statuses/960399104026251264,twitter.com,2018/02/05 15:26:04,Unknown,http://twitter.com/karei_aji,Prime/Gloss,karei_aji,420972609,,,,,,,,345,,,,,,,,,,,,,,,
169,Macchan's FAVORITE 紙が更新されました ! paper.li/Ryosuke_MT/135… おかげで @htera0202 #日産リーフで走ってみた #日産リーフ,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/Ryosuke_MT/statuses/958488973936136195,twitter.com,2018/01/31 8:55:53,Unknown,http://twitter.com/Ryosuke_MT,Macchan(空撮部 まっちゃん),Ryosuke_MT,150905635,日本,千葉県,市川市,,,,,262,,,,,,,,,,,,,,,
170,バッテリーサイズは同じでも新型日産リーフが航続距離400kmを実現できた理由とは irfanislamy.xyz/car/media/2566/ pic.twitter.com/Sp1Llyso3k,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/christian_god8/statuses/958985804314898433,twitter.com,2018/02/01 17:50:07,男性,http://twitter.com/christian_god8,yasushi,christian_god8,2603043198,,,,,,,,41,,ショッピング,,,,,,,,,,,,,
171,電気自動車の安全性ってガソリン車と何か違うのでしょうか？ もしもの事故にあった場合は大丈夫？と、よくわからなかったので、営業さんに car-review.net/?p=4895 #compact #leaf #nissan pic.twitter.com/8l2yRnJLXQ,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/car_review_net/statuses/961184032754057216,twitter.com,2018/02/07 19:25:06,Unknown,http://twitter.com/car_review_net,スター★カーズ,car_review_net,3221011267,,,,,,,,3243,,,,,,,,,,,,,,,
172,ルノー日産三菱のEV世界販売、54万台超え…初代 リーフ から7年 y-trd.comルノー日産三菱のev世界販売、54万台超え初代-リ/ #中古車 #車屋 #ネットビジネス #nhk,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/carexportkoza/statuses/958555053496811520,twitter.com,2018/01/31 13:18:28,Unknown,http://twitter.com/carexportkoza,🚗中古車⛴輸出業支援TL,carexportkoza,775726164962713600,日本,神奈川県,横浜市,,,,,206,,,,,,,,,,,,,,,
173,ちょっとだけ… #日産リーフ pic.twitter.com/kqQWsoxAlG,,Neutral,,Twitter,オリジナル,画像,http://twitter.com/eco_driver_ze2/statuses/961550495813812224,twitter.com,2018/02/08 19:41:17,女性,http://twitter.com/eco_driver_ze2,みや@エコ,eco_driver_ze2,198499092,,,,,,,,117,,アウトドア; ゲーム,,,,,,,,,,,,,
174,The latest The 辻　正浩 Daily! paper.li/mhirot?edition… Thanks to @nara_naka #日産リーフで走ってみた #日産リーフ,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/mhirot/statuses/956323533222764544,twitter.com,2018/01/25 9:31:12,Unknown,http://twitter.com/mhirot,辻　正浩 （翻訳会社社長）,mhirot,49924952,日本,奈良県,,日本,東京都,,,978,Personal and Home Services,テクノロジー,,,,,,,,,,,,,
175,初代「日産リーフ」に1年乗ったレビュー！ hayakawayuki.com/8100 Bレンジを全然意識してなかったことに気付きました。(^^;) 今後は回生ブレーキをもっと活用したいですね〜。,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/touhou93340/statuses/954882066696450048,twitter.com,2018/01/21 10:03:20,Unknown,http://twitter.com/touhou93340,touhou,touhou93340,42969380,日本,新潟県,,,,,,23,,自動車; スポーツ; アウトドア,,,,,,,,,,,,,
176,日産、中国で電動車投入加速　１兆円投じ、５年で２０車種 | 自動車・輸送機 ニュース | 日刊工業新聞 電子版 nikkan.co.jp/articles/view/…,,ポジティブ,,Twitter,オリジナル,リンク,http://twitter.com/tokyostory/statuses/960691265800040448,twitter.com,2018/02/06 10:47:01,女性,http://twitter.com/tokyostory,城丸香織,tokyostory,31014640,,,,,,,,2513,芸術・創作,テレビ,,,,,,,,,,,,,
177,文中で言ってる日産の2000円で充電サービスってこれだな 旅ホーダイ ev.nissan.co.jp/ZESP2/TRAVEL/#… 沖縄では普通でもガソリン代１.５～２万円かかるというから、さらなる高騰が待っているならEV選択はあるだろう。（現状、軽自動車が燃費面で選ばれてるが）,,Neutral,,Twitter,返信およびコメント,リンク,http://twitter.com/DASEW01/statuses/956661240524238849,twitter.com,2018/01/26 7:53:08,Unknown,http://twitter.com/DASEW01,DASEW,DASEW01,103278154,日本,,,,,,,334,,,,,,,,,,,,,,,
178,モーショー写真の整理しなきゃ。 そいや「時代はEV」みたいに盛り上げてる日産の向かいがつい去年XVハイブリッドを販売終了しとったスバルなのは面白いかもな。ハイブリッドやEV開発は再開する様子だがトヨタのシステム貰うんだろうな。,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/hugo_oh_/statuses/955950545474240512,twitter.com,2018/01/24 8:49:05,Unknown,http://twitter.com/hugo_oh_,☆石狩 ｴﾘｰﾄ☆,hugo_oh_,147430172,日本,,,,,,,384,,自動車; スポーツ; アウトドア,,,,,,,,,,,,,
